gene_id	n_transcripts	max_prop_range	mean_prop_sd
LOC107448056	2	0.999999999998305	0.559735163442967
LOC107453796	4	0.999999999998305	0.261358505909881
LOC107438276	2	0.999999999998276	0.499999999998343
LOC107446777	2	0.999999999998276	0.526876689295922
LOC107455746	3	0.999999999998276	0.514666284166449
LOC107437726	3	0.999999999998246	0.465911859695448
LOC107450433	2	0.999999999998246	0.577350269183144
LOC107456132	2	0.999999999998246	0.499999999997429
LOC107437404	2	0.999999999998214	0.499999999995194
LOC107456866	2	0.999999999998214	0.417956064035001
LOC107439178	2	0.999999999998182	0.577350269173102
LOC107447023	2	0.999999999998148	0.499999999998321
LOC107444165	2	0.999999999998113	0.499999999997263
LOC107444228	2	0.999999999998113	0.472023569324875
LOC107448509	2	0.999999999998113	0.499999999998445
LOC107453900	3	0.999999999998113	0.52578342305091
LOC107446055	3	0.999999999998077	0.363476866274857
LOC107444518	2	0.999999999998039	0.57735026918733
LOC107448238	4	0.999999999998039	0.305499576949677
LOC107455837	2	0.999999999998039	0.49999999999543
LOC107456604	2	0.999999999998039	0.526608292914948
LOC107436203	2	0.999999999998	0.336241584816494
LOC107442660	3	0.999999999998	0.318254755786916
LOC107446065	2	0.999999999998	0.577350269182746
LOC107452687	2	0.999999999998	0.499999999986255
LOC107443975	2	0.999999999997959	0.577350269184892
LOC107448148	2	0.999999999997959	0.577350269187049
LOC107448426	2	0.999999999997959	0.51922847517383
LOC107449777	2	0.999999999997959	0.517796661551487
LOC107441712	2	0.999999999997958	0.538675134588963
LOC107443319	3	0.99999999999792	0.525783423056312
LOC107436313	2	0.999999999997917	0.577350269187722
LOC107448429	2	0.999999999997917	0.577350269185842
LOC107448476	2	0.999999999997917	0.499999999995992
LOC107437628	3	0.999999999997872	0.369563860006164
LOC107452761	2	0.999999999997872	0.499999999995419
LOC107445427	2	0.999999999997826	0.577350269185435
LOC107447636	2	0.999999999997778	0.496050007778013
LOC107448675	2	0.999999999997778	0.577350269187081
LOC107445770	2	0.999999999997727	0.577350269184579
LOC107449342	2	0.999999999997727	0.499999999994706
LOC107449775	2	0.999999999997727	0.577350269185036
LOC107453376	2	0.999999999997727	0.499999999994354
LOC107456467	1	0.999999999997727	0.577350269187165
LOC107442474	2	0.999999999997674	0.577350269184592
LOC107443257	2	0.999999999997674	0.577350269185243
LOC107448889	2	0.999999999997674	0.538712619273261
LOC139426420	2	0.999999999997674	0.499999999997722
LOC107436727	2	0.999999999997619	0.577350269187455
LOC107444741	2	0.999999999997619	0.499999999987536
LOC107444387	3	0.999999999997561	0.388488615890541
LOC107445347	2	0.999999999997561	0.499999999995653
LOC107448252	2	0.999999999997561	0.57735026918699
LOC107453005	1	0.999999999997561	0.577350269187318
LOC122272169	2	0.999999999997541	0.499999999996321
LOC107437402	2	0.9999999999975	0.577350269186784
LOC107448572	2	0.9999999999975	0.499999999996989
LOC107449343	2	0.9999999999975	0.577350269185618
LOC107455449	2	0.999999999997445	0.44091202469067
LOC107442136	1	0.999999999997436	0.4999999999971
LOC107455349	2	0.999999999997436	0.577350269179547
LOC107436091	2	0.999999999997368	0.5773502691868
LOC107447556	2	0.999999999997368	0.577350269184354
LOC107452283	3	0.999999999997368	0.30352024513395
LOC122271407	2	0.999999999997368	0.499999999995296
LOC139427122	2	0.999999999997318	0.538675134591652
LOC107443482	2	0.999999999997297	0.544571014974807
LOC107451494	2	0.999999999997297	0.577350269184778
LOC107453368	2	0.999999999997297	0.577350269183943
