tx_id	ERR9871746	ERR9871747	ERR9871748	ERR9871749	gene_id	prop_ERR9871746	prop_ERR9871747	prop_ERR9871748	prop_ERR9871749	prop_mean	prop_sd	prop_max	prop_min	prop_range
XM_016059608.4	158	0	145.284	0	LOC107445255	0.999999999999367	0	0.84467441860416	0	0.461168604650882	0.536273855966783	0.999999999999367	0	0.999999999999367
XM_071184342.1	156	54	0	34.299	LOC107446614	0.999999999999359	0.999999999998148	0	0.451302631578354	0.612825657893965	0.483546935802471	0.999999999999359	0	0.999999999999359
XM_043052477.2	155	0	166.835	137.321	LOC107439300	0.999999999999355	0	0.341175869120585	0.59190086206871	0.483269182797163	0.421327739422582	0.999999999999355	0	0.999999999999355
XM_043041243.2	147	62	103.814	0	LOC107439674	0.99999999999932	0.999999999998387	0.633012195121565	0	0.658253048779818	0.471704757327552	0.99999999999932	0	0.99999999999932
XM_043047999.2	0	0	146	0	LOC107438339	0	0	0.999999999999315	0	0.249999999999829	0.499999999999658	0.999999999999315	0	0.999999999999315
XM_043043903.2	0	38	144	49	LOC107441008	0	0.999999999997368	0.999999999999306	0.999999999997959	0.749999999998658	0.499999999999105	0.999999999999306	0	0.999999999999306
XM_016072828.4	0	0	92.332	144	LOC107455314	0	0	0.198991379310302	0.999999999999306	0.299747844827402	0.476166107965046	0.999999999999306	0	0.999999999999306
XM_016064232.3	0	0	142	50	LOC107448881	0	0	0.999999999999296	0.999999999998	0.499999999999324	0.577350269188845	0.999999999999296	0	0.999999999999296
XM_071186847.1	286.952	138	0	0	LOC107437615	0.808315492957519	0.999999999999275	0	0	0.452078873239199	0.527848685905602	0.999999999999275	0	0.999999999999275
XM_016070115.3	109.518	137	0	0	LOC107453332	0.308416268185034	0.99999999999927	0	0	0.327104067046076	0.471569122457987	0.99999999999927	0	0.99999999999927
XM_021147715.3	138.165	135	0	0	LOC107442273	0.32974940334121	0.999999999999259	0	0	0.332437350835117	0.471407926705141	0.999999999999259	0	0.999999999999259
XM_016047953.3	14.308	0	320.588	134	LOC107436302	0.0745208333332945	0	0.956979104477326	0.999999999999254	0.507874984452469	0.544553138415662	0.999999999999254	0	0.999999999999254
XM_016052775.3	27.241	133	0	0	LOC107440013	0.0955827915185332	0.999999999999248	0	0	0.273895697879445	0.486162063776233	0.999999999999248	0	0.999999999999248
XM_043039530.2	109.989	0	288.58	133	LOC107447618	0.588176470587921	0	0.988287671232538	0.999999999999248	0.644116035454927	0.470149697132485	0.999999999999248	0	0.999999999999248
XM_043047119.2	132	0	10.993	12.388	LOC107455815	0.999999999999242	0	0.091608333333257	0.209966101694559	0.325393608756765	0.45787692964973	0.999999999999242	0	0.999999999999242
XM_043052135.2	130	51	127	0	LOC107439658	0.999999999999231	0.999999999998039	0.999999999999213	0	0.749999999999121	0.499999999999414	0.999999999999231	0	0.999999999999231
XM_043041636.2	0	15.058	127	42	LOC107440272	0	0.259620689654725	0.999999999999213	0.999999999997619	0.564905172412889	0.513462587801395	0.999999999999213	0	0.999999999999213
XM_043044761.2	0	0	177.781	126	LOC107438763	0	0	0.542015243902274	0.999999999999206	0.38550381097537	0.482813894965309	0.999999999999206	0	0.999999999999206
XM_021148468.3	125	42.942	0	0	LOC107440272	0.9999999999992	0.740379310343551	0	0	0.435094827585688	0.513462587801654	0.9999999999992	0	0.9999999999992
XM_043046927.2	124	57	0	121	LOC107445743	0.999999999999194	0.999999999998246	0	0.999999999999174	0.749999999999153	0.499999999999435	0.999999999999194	0	0.999999999999194
XM_016068325.3	0	0	118	49	LOC107452047	0	0	0.999999999999153	0.999999999997959	0.499999999999278	0.577350269188792	0.999999999999153	0	0.999999999999153
XM_043047158.2	0	0	117	45	LOC107455365	0	0	0.999999999999145	0.999999999997778	0.499999999999231	0.577350269188738	0.999999999999145	0	0.999999999999145
XM_016060483.3	116	0	0	6.659	LOC107445965	0.999999999999138	0	0	0.170743589743152	0.292685897435572	0.47836291495265	0.999999999999138	0	0.999999999999138
XM_071182208.1	0	113	0	0	LOC107447968	0	0.999999999999115	0	0	0.249999999999779	0.499999999999558	0.999999999999115	0	0.999999999999115
XM_071188227.1	27.618	0	113	0	LOC107440660	0.349594936708418	0	0.999999999999115	0	0.337398734176883	0.471474635752459	0.999999999999115	0	0.999999999999115
XM_071186302.1	0	0	112	29	LOC107445300	0	0	0.999999999999107	0.999999999996552	0.499999999998915	0.577350269188373	0.999999999999107	0	0.999999999999107
XM_043051414.2	90.575	111	0	0	LOC107442396	0.276143292682843	0.999999999999099	0	0	0.319035823170485	0.472270999966348	0.999999999999099	0	0.999999999999099
XM_071181133.1	0	0	111	0	LOC107456952	0	0	0.999999999999099	0	0.249999999999775	0.49999999999955	0.999999999999099	0	0.999999999999099
XM_016069780.3	111	46	0	0	LOC107453093	0.999999999999099	0.999999999997826	0	0	0.499999999999231	0.577350269188738	0.999999999999099	0	0.999999999999099
XM_071184408.1	97.347	0	110.732	43.187	LOC107456986	0.999999999998973	0	0.999999999999097	0.999999999997684	0.749999999998939	0.499999999999292	0.999999999999097	0	0.999999999999097
XM_016072827.3	67.689	107	99.001	0	LOC107455314	0.203270270270209	0.999999999999065	0.213364224137885	0	0.35415862360179	0.441637019972194	0.999999999999065	0	0.999999999999065
XM_071178053.1	106.625	53.673	0	53.347	LOC107446785	0.999999999999062	0.999999999998137	0	0.999999999998125	0.749999999998831	0.499999999999221	0.999999999999062	0	0.999999999999062
XM_016074076.3	25.665	31	106	0	LOC107456254	0.246778846153609	0.999999999996774	0.999999999999057	0	0.56169471153736	0.516041342989886	0.999999999999057	0	0.999999999999057
XM_016047947.3	0	26	105	0	LOC107436297	0	0.999999999996154	0.999999999999048	0	0.4999999999988	0.577350269188241	0.999999999999048	0	0.999999999999048
