p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.49069291334995e-15	0.320840566173118	0.411	0.339	2.8939360960213e-11	0	LOC107440642
2.72220397488798e-15	0.414601391253889	0.33	0.264	3.16292879842234e-11	0	LOC107453035
2.7740871424406e-15	0.466761812645916	0.267	0.204	3.22321185080173e-11	0	LOC107436332
3.13898220940915e-14	0.418438698117571	0.323	0.261	3.6471834291125e-10	0	LOC107456192
7.3421420468585e-11	0.295598013733478	0.396	0.341	8.53083484424489e-07	0	LOC107452612
2.05375331564842e-10	0.363244736469632	0.274	0.223	2.3862559774519e-06	0	LOC107443324
3.65585470363511e-111	0.812744597845736	0.661	0.464	4.24773758015363e-107	1	LOC107454045
2.34535458939256e-105	0.402330079816746	0.977	0.899	2.72506749741522e-101	1	LOC107444945
4.27521668497586e-68	0.462677269164242	0.833	0.695	4.96737426627345e-64	1	LOC107456524
1.9735781378492e-61	0.286531091387618	0.979	0.945	2.29310043836698e-57	1	LOC107441347
3.96129900233332e-59	0.921509901152912	0.304	0.169	4.60263331081108e-55	1	LOC107436691
2.97928055484471e-57	0.328565304156226	0.953	0.879	3.46162607667407e-53	1	LOC107457378
1.21422266528701e-55	0.383228387692008	0.864	0.751	1.41080531479697e-51	1	LOC107440487
2.60249369042947e-54	0.812836296200478	0.367	0.227	3.02383741891e-50	1	LOC107457180
7.19764571736868e-52	0.332525198140762	0.923	0.85	8.36294455901067e-48	1	LOC107438795
1.4711286517209e-44	0.644981678841115	0.34	0.212	1.70930438043452e-40	1	LOC107437748
9.57571681607481e-39	0.408260351000697	0.613	0.471	1.11260253685973e-34	1	LOC107457376
1.48922426939897e-37	0.431063409529878	0.635	0.509	1.73032967861466e-33	1	LOC107456959
9.45500361208714e-37	0.52307770232235	0.346	0.223	1.0985768696884e-32	1	LOC107454167
3.59826487149595e-35	0.534152990856865	0.447	0.325	4.18082395419115e-31	1	LOC107456764
8.09077329892035e-35	0.421013803293648	0.563	0.434	9.40066949601555e-31	1	LOC107456988
1.23087836958673e-33	0.607848027065012	0.34	0.228	1.43015757762282e-29	1	LOC107454357
5.13068924086925e-33	0.714567547147986	0.308	0.206	5.96134782896598e-29	1	LOC107444455
8.6655877151537e-32	0.304990148482998	0.806	0.711	1.00685463662371e-27	1	LOC107447334
2.68309802610119e-29	0.329262134573534	0.712	0.615	3.11749159652697e-25	1	LOC107452096
1.33235097392132e-28	0.490768417859327	0.461	0.355	1.54805859659918e-24	1	LOC107439814
